Year,Ceremony,Award,Winner,Name,Film
1927/1928,1,Actor,,Richard Barthelmess,The Noose
1927/1928,1,Actor,1,Emil Jannings,The Last Command
1927/1928,1,Actress,,Louise Dresser,A Ship Comes In
1927/1928,1,Actress,1,Janet Gaynor,7th Heaven
1927/1928,1,Actress,,Gloria Swanson,Sadie Thompson
1927/1928,1,Art Direction,,Rochus Gliese,Sunrise
1927/1928,1,Art Direction,1,William Cameron Menzies,The Dove; Tempest
1927/1928,1,Art Direction,,Harry Oliver,7th Heaven
1927/1928,1,Cinematography,,George Barnes,The Devil Dancer; The Magic Flame; Sadie Thompson
1927/1928,1,Cinematography,1,Charles Rosher,Sunrise
1927/1928,1,Cinematography,1,Karl Struss,Sunrise
1927/1928,1,Directing (Comedy Picture),1,Lewis Milestone,Two Arabian Knights
1927/1928,1,Directing (Comedy Picture),,Ted Wilde,Speedy
1927/1928,1,Directing (Dramatic Picture),1,Frank Borzage,7th Heaven
1927/1928,1,Directing (Dramatic Picture),,Herbert Brenon,Sorrell and Son
1927/1928,1,Directing (Dramatic Picture),,King Vidor,The Crowd
1927/1928,1,Engineering Effects,,Ralph Hammeras,
1927/1928,1,Engineering Effects,1,Roy Pomeroy,Wings
1927/1928,1,Engineering Effects,,Nugent Slaughter,
1927/1928,1,Outstanding Picture,,The Caddo Company,The Racket
1927/1928,1,Outstanding Picture,,Fox,7th Heaven
1927/1928,1,Outstanding Picture,1,Paramount Famous Lasky,Wings
1927/1928,1,Unique and Artistic Picture,1,Fox,Sunrise
1927/1928,1,Unique and Artistic Picture,,Metro-Goldwyn-Mayer,The Crowd
1927/1928,1,Unique and Artistic Picture,,Paramount Famous Lasky,Chang
1927/1928,1,Writing (Adaptation),,Alfred Cohn,The Jazz Singer
1927/1928,1,Writing (Adaptation),,Anthony Coldeway,Glorious Betsy
1927/1928,1,Writing (Adaptation),1,Benjamin Glazer,7th Heaven
1927/1928,1,Writing (Original Story),,Lajos Biro,The Last Command
1927/1928,1,Writing (Original Story),1,Ben Hecht,Underworld
1927/1928,1,Writing (Title Writing),,Gerald Duffy,The Private Life of Helen of Troy
1927/1928,1,Writing (Title Writing),1,Joseph Farnham,
1927/1928,1,Writing (Title Writing),,"George Marion, Jr.",
1927/1928,1,Special Award,1,Warner Brothers,The Jazz Singer
1927/1928,1,Special Award,1,Charles Chaplin,The Circus
1928/1929,2,Actor,,George Bancroft,Thunderbolt
1928/1929,2,Actor,1,Warner Baxter,In Old Arizona
1928/1929,2,Actor,,Chester Morris,Alibi
1928/1929,2,Actor,,Paul Muni,The Valiant
1928/1929,2,Actor,,Lewis Stone,The Patriot
1928/1929,2,Actress,,Ruth Chatterton,Madame X
1928/1929,2,Actress,,Betty Compson,The Barker
1928/1929,2,Actress,,Jeanne Eagels,The Letter
1928/1929,2,Actress,,Corinne Griffith,The Divine Lady
1928/1929,2,Actress,,Bessie Love,The Broadway Melody
1928/1929,2,Actress,1,Mary Pickford,Coquette
1928/1929,2,Art Direction,,Hans Dreier,The Patriot
1928/1929,2,Art Direction,1,Cedric Gibbons,The Bridge of San Luis Rey
1928/1929,2,Art Direction,,Mitchell Leisen,Dynamite
1928/1929,2,Art Direction,,William Cameron Menzies,Alibi; and The Awakening
1928/1929,2,Art Direction,,Harry Oliver,Street Angel
1928/1929,2,Cinematography,,George Barnes,Our Dancing Daughters
1928/1929,2,Cinematography,1,Clyde De Vinna,White Shadows in the South Seas
1928/1929,2,Cinematography,,Arthur Edeson,In Old Arizona
1928/1929,2,Cinematography,,Ernest Palmer,Four Devils; and Street Angel
1928/1929,2,Cinematography,,John Seitz,The Divine Lady
1928/1929,2,Directing,,Lionel Barrymore,Madame X
1928/1929,2,Directing,,Harry Beaumont,The Broadway Melody
1928/1929,2,Directing,,Irving Cummings,In Old Arizona
1928/1929,2,Directing,1,Frank Lloyd,The Divine Lady
1928/1929,2,Directing,,Frank Lloyd,Drag; and Weary River
1928/1929,2,Directing,,Ernst Lubitsch,The Patriot
1928/1929,2,Outstanding Picture,,Feature Productions,Alibi
1928/1929,2,Outstanding Picture,,Fox,In Old Arizona
1928/1929,2,Outstanding Picture,1,Metro-Goldwyn-Mayer,The Broadway Melody
1928/1929,2,Outstanding Picture,,Metro-Goldwyn-Mayer,Hollywood Revue
1928/1929,2,Outstanding Picture,,Paramount Famous Lasky,The Patriot
1928/1929,2,Writing,,Tom Barry,In Old Arizona; and The Valiant
1928/1929,2,Writing,,Elliott Clawson,The Cop; The Leatherneck; Sal of Singapore; and Skyscraper
1928/1929,2,Writing,,Hans Kraly,The Last of Mrs. Cheyney
1928/1929,2,Writing,1,Hans Kraly,The Patriot
1928/1929,2,Writing,,Josephine Lovett,Our Dancing Daughters
1928/1929,2,Writing,,Bess Meredyth,A Woman of Affairs; and Wonder of Women
1929/1930,3,Actor,1,George Arliss,Disraeli
1929/1930,3,Actor,,George Arliss,The Green Goddess
1929/1930,3,Actor,,Wallace Beery,The Big House
1929/1930,3,Actor,,Maurice Chevalier,The Big Pond
1929/1930,3,Actor,,Ronald Colman,Bulldog Drummond
1929/1930,3,Actor,,Lawrence Tibbett,The Rogue Song
1929/1930,3,Actress,,Nancy Carroll,The Devil's Holiday
1929/1930,3,Actress,,Ruth Chatterton,Sarah and Son
1929/1930,3,Actress,,Greta Garbo,Anna Christie
1929/1930,3,Actress,1,Norma Shearer,The Divorcee
1929/1930,3,Actress,,Norma Shearer,Their Own Desire
1929/1930,3,Actress,,Gloria Swanson,The Trespasser
1929/1930,3,Art Direction,,Bulldog Drummond ,(William Cameron Menzies)
1929/1930,3,Art Direction,1,King of Jazz ,Herman Rosse
1929/1930,3,Art Direction,,The Love Parade ,(Hans Dreier)
1929/1930,3,Art Direction,,Sally ,(Jack Okey)
1929/1930,3,Art Direction,,The Vagabond King ,(Hans Dreier)
1929/1930,3,Cinematography,,All Quiet on the Western Front ,(Arthur Edeson)
1929/1930,3,Cinematography,,Anna Christie ,(William Daniels)
1929/1930,3,Cinematography,,Hell's Angels ,"(Gaetano Gaudio), (Harry Perry)"
1929/1930,3,Cinematography,,The Love Parade ,(Victor Milner)
1929/1930,3,Cinematography,1,With Byrd at the South Pole ,"Joseph T. Rucker, Willard Van Der Veer"
1929/1930,3,Directing,,Clarence Brown,Anna Christie; and Romance
1929/1930,3,Directing,,Robert Leonard,The Divorcee
1929/1930,3,Directing,,Ernst Lubitsch,The Love Parade
1929/1930,3,Directing,1,Lewis Milestone,All Quiet on the Western Front
1929/1930,3,Directing,,King Vidor,Hallelujah
1929/1930,3,Outstanding Production,1,All Quiet on the Western Front ,Universal
1929/1930,3,Outstanding Production,,The Big House ,Cosmopolitan
1929/1930,3,Outstanding Production,,Disraeli ,Warner Brothers
1929/1930,3,Outstanding Production,,The Divorcee ,Metro-Goldwyn-Mayer
1929/1930,3,Outstanding Production,,The Love Parade ,Paramount Famous Lasky
